"REF_DATE","GEO","DGUID","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.51","","","","2"
"2001","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.54","","","","2"
"2002","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.52","","","","2"
"2003","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.55","","","","2"
"2004","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.56","","","","2"
"2005","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.58","","","","2"
"2006","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.63","","","","2"
"2007","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.67","","","","2"
"2008","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.70","","","","2"
"2009","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.69","","","","2"
"2010","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.65","","","","2"
"2011","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.63","","","","2"
"2012","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.63","","","","2"
"2013","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.61","","","","2"
"2014","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.61","","","","2"
"2015","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.60","","","","2"
"2016","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.59","","","","2"
"2017","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.55","","","","2"
"2018","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.51","","","","2"
"2019","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.47","","","","2"
"2020","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.41","","","","2"
"2021","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.44","","","","2"
"2022","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.34","","","","2"
"2023","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.27","","","","2"
"2024","Canada, place of residence of mother","2021A000011124","Total fertility rate per female","Rate","257","units","0","v21400976","1.9","1.25","","","","2"


